region_type	chr	start	end	size	dp_mean	ctrl_norm_factor	ctrl_norm	ctrl_pad_norm_factor	ctrl_pad_norm	n_ppn	segdup_ppn	sample_id	sv_id	cnv_type	cn_change	copy_number	mean_ctrl	sd_ctrl	lo_ctrl	hi_ctrl	mean_ctrl_pad	sd_ctrl_pad	lo_ctrl_pad	hi_ctrl_pad	cutoff_del	cutoff_dup	run_id	sample_type	coriell_id	seq_status	fail_reason	target_size	ppn_genome_targeted	wg_mean_cov	x_mean_cov	y_mean_cov	sample_sex	ctrl_mean_cov	ctrl_total_size	ctrl_NoN_size	ctrl_num_pos_gte10_dp	ctrl_ppn_pos_gte10_dp	num_standard_target_regions	total_standard_target_bp	norm	cutoff	mean	sd	lo	hi	cnv_trgt_size
cnv	X	32846001	33141000	294999	11.81	7.18	1.65	7.04	1.68	0.0	0.0	SM4809	0	DUP	one_copy_gain	2.0	1.0	0.0926001338225837	0.722199598532249	1.27780040146775	0.981366062480852	0.0820347517063861	0.735261807361694	1.22747031760001	0.735261807361694	1.22747031760001	3	gDNA	NA09981	PASS		5794999	0.0018719547331122	0.853388	0.499345	0.293394	MALE	7.1754116	2500000	2500000	519375	0.20775	9	4500000	ctrl	ctrl	1.0	0.0926001338225837	0.722199598532249	1.27780040146775	1294999
pad	X	32346001	32846001	500000	6.72	7.18	0.94	7.04	0.95	0.0	0.0	SM4809	0				1.0	0.0926001338225837	0.722199598532249	1.27780040146775	0.981366062480852	0.0820347517063861	0.735261807361694	1.22747031760001	0.735261807361694	1.22747031760001	3	gDNA	NA09981	PASS		5794999	0.0018719547331122	0.853388	0.499345	0.293394	MALE	7.1754116	2500000	2500000	519375	0.20775	9	4500000	ctrl	ctrl	1.0	0.0926001338225837	0.722199598532249	1.27780040146775	1294999
pad	X	33141000	33641000	500000	6.7	7.18	0.93	7.04	0.95	0.0	0.0	SM4809	0				1.0	0.0926001338225837	0.722199598532249	1.27780040146775	0.981366062480852	0.0820347517063861	0.735261807361694	1.22747031760001	0.735261807361694	1.22747031760001	3	gDNA	NA09981	PASS		5794999	0.0018719547331122	0.853388	0.499345	0.293394	MALE	7.1754116	2500000	2500000	519375	0.20775	9	4500000	ctrl	ctrl	1.0	0.0926001338225837	0.722199598532249	1.27780040146775	1294999
ctrl	10	89425864	89925864	500000	8.03	7.18	1.12	7.04	1.14	0.0	0.01	SM4809	0				1.0	0.0926001338225837	0.722199598532249	1.27780040146775	0.981366062480852	0.0820347517063861	0.735261807361694	1.22747031760001	0.735261807361694	1.22747031760001	3	gDNA	NA09981	PASS		5794999	0.0018719547331122	0.853388	0.499345	0.293394	MALE	7.1754116	2500000	2500000	519375	0.20775	9	4500000	ctrl	ctrl	1.0	0.0926001338225837	0.722199598532249	1.27780040146775	1294999
ctrl	17	40886906	41386906	500000	7.33	7.18	1.02	7.04	1.04	0.0	0.13	SM4809	0				1.0	0.0926001338225837	0.722199598532249	1.27780040146775	0.981366062480852	0.0820347517063861	0.735261807361694	1.22747031760001	0.735261807361694	1.22747031760001	3	gDNA	NA09981	PASS		5794999	0.0018719547331122	0.853388	0.499345	0.293394	MALE	7.1754116	2500000	2500000	519375	0.20775	9	4500000	ctrl	ctrl	1.0	0.0926001338225837	0.722199598532249	1.27780040146775	1294999
ctrl	17	48020229	48520229	500000	6.94	7.18	0.97	7.04	0.99	0.0	0.0	SM4809	0				1.0	0.0926001338225837	0.722199598532249	1.27780040146775	0.981366062480852	0.0820347517063861	0.735261807361694	1.22747031760001	0.735261807361694	1.22747031760001	3	gDNA	NA09981	PASS		5794999	0.0018719547331122	0.853388	0.499345	0.293394	MALE	7.1754116	2500000	2500000	519375	0.20775	9	4500000	ctrl	ctrl	1.0	0.0926001338225837	0.722199598532249	1.27780040146775	1294999
ctrl	8	61435955	61935955	500000	7.36	7.18	1.03	7.04	1.05	0.0	0.0	SM4809	0				1.0	0.0926001338225837	0.722199598532249	1.27780040146775	0.981366062480852	0.0820347517063861	0.735261807361694	1.22747031760001	0.735261807361694	1.22747031760001	3	gDNA	NA09981	PASS		5794999	0.0018719547331122	0.853388	0.499345	0.293394	MALE	7.1754116	2500000	2500000	519375	0.20775	9	4500000	ctrl	ctrl	1.0	0.0926001338225837	0.722199598532249	1.27780040146775	1294999
ctrl	9	137385170	137885170	500000	6.22	7.18	0.87	7.04	0.88	0.0	0.01	SM4809	0				1.0	0.0926001338225837	0.722199598532249	1.27780040146775	0.981366062480852	0.0820347517063861	0.735261807361694	1.22747031760001	0.735261807361694	1.22747031760001	3	gDNA	NA09981	PASS		5794999	0.0018719547331122	0.853388	0.499345	0.293394	MALE	7.1754116	2500000	2500000	519375	0.20775	9	4500000	ctrl	ctrl	1.0	0.0926001338225837	0.722199598532249	1.27780040146775	1294999
cnv	6	162864787	163077036	212249	4.68	8.49	0.55	8.23	0.57	0.0	0.0	SM4644	0	DEL	one_copy_loss	1.0	1.0	0.021748955390801	0.934753133827597	1.0652468661724	0.969854965923166	0.0555215922873015	0.803290189061261	1.13641974278507	0.934753133827597	1.0652468661724	8	gDNA	NA06918	PASS		24029838	0.0077623428373361	0.894435	0.492335	0.359558	MALE	8.4901584	2500000	2500000	865548	0.3462192	9	4500000	ctrl	ctrl	1.0	0.021748955390801	0.934753133827597	1.0652468661724	19529838
pad	6	162364787	162864787	500000	7.44	8.49	0.88	8.23	0.9	0.0	0.0	SM4644	0				1.0	0.021748955390801	0.934753133827597	1.0652468661724	0.969854965923166	0.0555215922873015	0.803290189061261	1.13641974278507	0.934753133827597	1.0652468661724	8	gDNA	NA06918	PASS		24029838	0.0077623428373361	0.894435	0.492335	0.359558	MALE	8.4901584	2500000	2500000	865548	0.3462192	9	4500000	ctrl	ctrl	1.0	0.021748955390801	0.934753133827597	1.0652468661724	19529838
